Date,years_since_halving,realized_vol_30,dxy_ret_30,dxy_ret_100,short_percent_r,long_percent_r,wr_composite,log_price_residual,log_price_residual_target
2018-07-29,2.053388090349076,-0.020226619265069887,0.005284059305625,0.48272814715270596,0.8891728698863295,0.5688096931094765,0.0477875842455095,0.6169838577243674,0.6169838577243674
2018-07-30,2.0561259411362083,-0.029465946352906194,-0.028531824041306,0.44729859711889003,0.8902400571172387,0.5688440338496008,0.0473236542182295,0.6100076423550842,0.6100076423550842
2018-07-31,2.0588637919233403,0.08600791438108768,-0.014794398574642001,0.46169156145206003,0.8473269056380989,0.5205248879278956,0.0732029490295675,0.5575995309932402,0.5575995309932402
2018-08-01,2.0616016427104724,0.07896871824262297,-0.02635184913695,0.40466243747319697,0.7981468487565408,0.4775728538281005,0.1054535657499251,0.5351689825250592,0.5351689825250592
2018-08-02,2.0643394934976045,0.07337263311440659,0.061317459933378005,0.484741840762756,0.7526078540137806,0.4491177406146084,0.1362839443350891,0.5253410257082916,0.5253410257082916
2018-08-03,2.067077344284737,0.08939920512274761,0.058146006242891,0.435450400398866,0.7025823229558571,0.4188489946381445,0.1728445820265913,0.50544554396655,0.50544554396655
2018-08-04,2.0698151950718686,0.20574261089266666,0.070921791075246,0.39100064728198,0.616469303013294,0.355197062314055,0.247301720109766,0.4478066957976203,0.4478066957976203
2018-08-05,2.0725530458590007,0.2057195649521421,0.11697133809145599,0.393270530709646,0.5483922304824107,0.3276762084330201,0.3036266479031724,0.4507421763479655,0.4507421763479655
2018-08-06,2.0752908966461328,0.19390079461180923,0.14036576796824202,0.417303873347052,0.4497445410721407,0.2998174679967869,0.3852792604806985,0.4320060769506781,0.4320060769506781
2018-08-07,2.078028747433265,0.21713711696881227,0.125478551008919,0.402010079568566,0.3380362992278063,0.2618818902044101,0.488607395567265,0.4009627884274653,0.4009627884274653
2018-08-08,2.080766598220397,0.36243275056280616,0.10841800841990801,0.35496540355212103,0.262578385062448,0.1888649712276347,0.5981485028497352,0.3304795901993866,0.3304795901993866
2018-08-09,2.083504449007529,0.2927008147073919,0.147699434771393,0.32990839939836203,0.2358330258467327,0.1840656076857274,0.6235101156823826,0.3692521539420337,0.3692521539420337
2018-08-10,2.086242299794661,0.403162483634549,0.173141825223075,0.416171050180234,0.1834178669158396,0.1353257020418553,0.7060775826497107,0.307172998530886,0.307172998530886
2018-08-11,2.088980150581793,0.3926877108670828,0.163485190557026,0.427442570253007,0.1577233205177546,0.1243701534164509,0.7375225996359396,0.3230280127628546,0.3230280127628546
2018-08-12,2.0917180013689256,0.39311286128706235,0.169920908744227,0.409419998706044,0.1413635521013075,0.122149916029659,0.7537540778878624,0.3253618766886532,0.3253618766886532
2018-08-13,2.0944558521560577,0.39263566707336683,0.173087006823053,0.412660657601557,0.1263812510625554,0.1180045663316197,0.7705277473299093,0.3194504307465369,0.3194504307465369
2018-08-14,2.0971937029431897,0.3941519338579778,0.20897133054708,0.44939004816070705,0.1181584807401792,0.1041076118057034,0.7900351046985675,0.3018835625835372,0.3018835625835372
2018-08-15,2.099931553730322,0.2928243870367338,0.2317209567782,0.42587568175117896,0.1249954704358768,0.110306512040855,0.7784858318879554,0.3173555524110441,0.3173555524110441
2018-08-16,2.102669404517454,0.04499634561304995,0.17689799763944197,0.379080613743476,0.1332562718656564,0.116572877562296,0.7657049176366508,0.3195724454625672,0.3195724454625672
2018-08-17,2.105407255304586,0.1040562859052068,0.10727772648541001,0.328890534015791,0.1661660696560049,0.1494178248845264,0.7092442781570795,0.3556768232481193,0.3556768232481193
