Date,mvrv,hash_rate,adr_act_cnt,tx_cnt
2009-07-31,,8.450745837e-07,17,0
2009-08-01,,1.3918875496e-06,28,0
2009-08-02,,1.1433362014e-06,23,0
2009-08-03,,5.965232355e-07,12,0
2009-08-04,,4.02653184e-06,81,0
2009-08-05,,4.3247934577e-06,87,0
2009-08-06,,4.4739242666e-06,90,0
2009-08-07,,3.9768215703e-06,192,1
2009-08-08,,3.9768215703e-06,80,0
2009-08-09,,5.0207372325e-06,101,0
2009-08-10,,3.7282702222e-06,75,0
2009-08-11,,3.479718874e-06,70,0
2009-08-12,,3.1317469866e-06,63,0
2009-08-13,,4.2253729185e-06,85,0
2009-08-14,,3.1317469866e-06,63,0
2009-08-15,,1.2924670103e-06,26,0
2009-08-16,,9.444951229e-07,19,0
2009-08-17,,8.450745837e-07,17,0
2009-08-18,,4.971026962e-07,10,0
2009-08-19,,8.947848533e-07,18,0
2009-08-20,,1.0936259318e-06,22,0
2009-08-21,,6.959437748e-07,14,0
2009-08-22,,3.479718874e-07,7,0
2009-08-23,,7.456540444e-07,15,0
2009-08-24,,7.456540444e-07,15,0
2009-08-25,,2.4855134814e-06,50,0
2009-08-26,,2.3860929422e-06,96,3
2009-08-27,,1.4415978192e-06,29,0
2009-08-28,,3.7282702222e-06,75,0
2009-08-29,,3.8774010311e-06,78,0
2009-08-30,,4.821896154e-06,99,1
2009-08-31,,4.2750831881e-06,93,1
2009-09-01,,3.8774010311e-06,78,0
2009-09-02,,3.2808777955e-06,66,0
2009-09-03,,3.0323264474e-06,76,1
2009-09-04,,3.1814572562e-06,64,0
2009-09-05,,3.7779804918e-06,76,0
2009-09-06,,3.3802983348e-06,68,0
2009-09-07,,3.8774010311e-06,92,1
2009-09-08,,3.4300086044e-06,69,0
2009-09-09,,2.68435456e-06,54,0
2009-09-10,,3.3305880651e-06,67,0
2009-09-11,,3.3305880651e-06,67,0
2009-09-12,,3.4300086044e-06,69,0
2009-09-13,,3.7282702222e-06,75,0
2009-09-14,,3.6785599525e-06,74,0
2009-09-15,,2.1872518637e-06,44,0
2009-09-16,,3.5791394133e-06,74,1
2009-09-17,,4.1756626488e-06,186,1
2009-09-18,,3.8774010311e-06,78,0
2009-09-19,,3.6785599525e-06,74,0
2009-09-20,,3.8774010311e-06,78,0
2009-09-21,,3.4300086044e-06,78,1
2009-09-22,,1.2427567407e-06,66,1
2009-09-23,,1.7895697066e-06,36,0
2009-09-24,,4.821896154e-06,97,0
2009-09-25,,4.5236345362e-06,119,2
2009-09-26,,4.9710269629e-06,117,1
2009-09-27,,4.3247934577e-06,87,0
2009-09-28,,4.2253729185e-06,85,0
2009-09-29,,4.3745037274e-06,133,2
2009-09-30,,4.2253729185e-06,85,0
2009-10-01,,4.0762421096e-06,82,0
2009-10-02,,3.5791394133e-06,83,1
2009-10-03,,2.8831956385e-06,58,0
2009-10-04,,2.6346442903e-06,53,0
2009-10-05,,2.7340648296e-06,55,0
2009-10-06,,2.137541594e-06,58,2
2009-10-07,,2.9826161777e-06,60,0
2009-10-08,,3.479718874e-06,70,0
2009-10-09,,3.9271113007e-06,79,0
2009-10-10,,3.8276907614e-06,77,0
2009-10-11,,3.6785599525e-06,74,0
2009-10-12,,2.8831956385e-06,132,1
2009-10-13,,2.8334853688e-06,57,0
2009-10-14,,3.4300086044e-06,69,0
2009-10-15,,3.5294291437e-06,71,0
2009-10-16,,2.9826161777e-06,141,1
2009-10-17,,2.8334853688e-06,57,0
2009-10-18,,3.6785599525e-06,82,1
2009-10-19,,5.5675501985e-06,112,0
2009-10-20,,4.7224756148e-06,197,1
2009-10-21,,3.9768215703e-06,99,1
2009-10-22,,4.4739242666e-06,130,1
2009-10-23,,4.424213997e-06,89,0
2009-10-24,,3.082036717e-06,70,1
2009-10-25,,3.7779804918e-06,76,0
2009-10-26,,3.5294291437e-06,71,0
